0:0:0:0:0:0:0:1 - - [02/May/2022:18:31:15 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/May/2022:18:31:15 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:31:15 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:18:31:18 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [02/May/2022:18:31:18 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:32:22 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [02/May/2022:18:32:22 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:32:23 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:32:23 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:02 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5428
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:02 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:03 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:04 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:04 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:04 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:04 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:04 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:04 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:05 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:05 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:08 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:08 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:09 +0300] "GET /Expense_Management/html/pictures/main.png HTTP/1.1" 200 482951
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:10 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:10 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:12 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:18:44:12 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:20:37:21 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [02/May/2022:20:37:21 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:15 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:15 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:15 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:19 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:19 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
