127.0.0.1 - - [26/Apr/2022:00:32:47 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:48 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:51 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:11:51 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 500 40
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:12:26 +0300] "POST /Expense_Management/router/api/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:12:26 +0300] "GET /Expense_Management/html/login.html HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:12:32 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:12:32 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:12:32 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:19 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:20 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:22 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:22 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:27 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:31 +0300] "POST /Expense_Management/router/api/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:31 +0300] "GET /Expense_Management/html/login.html HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:38 +0300] "POST /Expense_Management/router/api/login HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:22:38 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
